symbol,Close,timestamp
GOOGL,1009.46,2024-01-01 09:30:00
GOOGL,104.72,2024-01-01 09:30:00
NVDA,101.07,2024-01-01 09:30:00
VZ,1220.48,2024-01-01 09:30:00
VZ,118.2,2024-01-01 09:30:00
NVDA,1487.04,2024-01-01 09:30:00
GOOGL,141.47,2024-01-01 09:30:00
TSLA,1136.55,2024-01-01 09:30:00
FB,1431.76,2024-01-01 09:30:00
GOOGL,413.23,2024-01-01 09:30:00
TSLA,505.63,2024-01-01 09:30:00
BRK.A,1054.3,2024-01-01 09:30:00
AAPL,1113.31,2024-01-01 09:30:00
TSLA,1154.02,2024-01-01 09:30:00
AMZN,547.12,2024-01-01 09:30:00
TSLA,650.56,2024-01-01 09:30:00
NFLX,1006.74,2024-01-01 09:30:00
BRK.A,694.03,2024-01-01 09:30:00
AMZN,332.52,2024-01-01 09:30:00
GOOGL,878.85,2024-01-01 09:30:00
NFLX,1174.26,2024-01-01 09:30:00
MSFT,1421.93,2024-01-01 09:30:00
AMZN,906.4,2024-01-01 09:30:00
AAPL,727.38,2024-01-01 09:30:00
VZ,1098.14,2024-01-01 09:30:00
VZ,1091.07,2024-01-01 09:30:00
FB,281.19,2024-01-01 09:30:00
BRK.A,695.77,2024-01-01 09:30:00
TSLA,169.2,2024-01-01 09:30:00
GOOGL,405.44,2024-01-01 09:30:00
VZ,645.41,2024-01-01 09:30:00
AAPL,735.73,2024-01-01 09:30:00
AMZN,545.21,2024-01-01 09:30:00
NVDA,961.27,2024-01-01 09:30:00
VZ,1407.6,2024-01-01 09:30:00
AMZN,775.62,2024-01-01 09:30:00
FB,1037.91,2024-01-01 09:30:00
MSFT,1085.79,2024-01-01 09:30:00
VZ,743.25,2024-01-01 09:30:00
NVDA,1265.29,2024-01-01 09:30:00
AAPL,634.74,2024-01-01 09:30:00
BRK.A,106.98,2024-01-01 09:30:00
AAPL,1169.33,2024-01-01 09:30:00
NFLX,1275.07,2024-01-01 09:30:00
BRK.A,1145.06,2024-01-01 09:30:00
AAPL,814.6,2024-01-01 09:30:00
BRK.A,1017.25,2024-01-01 09:30:00
TSLA,1085.79,2024-01-01 09:30:00
NFLX,471.02,2024-01-01 09:30:00
FB,871.29,2024-01-01 09:30:00
AMZN,469.19,2024-01-01 09:30:00
AMZN,451.62,2024-01-01 09:30:00
BRK.A,1456.83,2024-01-01 09:30:00
FB,670.97,2024-01-01 09:30:00
GOOGL,1463.72,2024-01-01 09:30:00
NFLX,1011.43,2024-01-01 09:30:00
BRK.A,1039.86,2024-01-01 09:30:00
NVDA,874.37,2024-01-01 09:30:00
MSFT,712.43,2024-01-01 09:30:00
AMZN,949.31,2024-01-01 09:30:00
MSFT,475.05,2024-01-01 09:30:00
FB,269.66,2024-01-01 09:30:00
FB,1135.05,2024-01-01 09:30:00
BRK.A,885.47,2024-01-01 09:30:00
FB,978.55,2024-01-01 09:30:00
AMZN,361.85,2024-01-01 09:30:00
FB,351.7,2024-01-01 09:30:00
NFLX,1269.18,2024-01-01 09:30:00
NFLX,1372.54,2024-01-01 09:30:00
MSFT,1423.67,2024-01-01 09:30:00
VZ,962.17,2024-01-01 09:30:00
NFLX,1001.6,2024-01-01 09:30:00
AMZN,868.01,2024-01-01 09:30:00
AMZN,621.74,2024-01-01 09:30:00
GOOGL,186.7,2024-01-01 09:30:00
GOOGL,169.33,2024-01-01 09:30:00
NFLX,975.03,2024-01-01 09:30:00
GOOGL,1155.36,2024-01-01 09:30:00
NVDA,591.22,2024-01-01 09:30:00
VZ,1220.95,2024-01-01 09:30:00
GOOGL,1260.52,2024-01-01 09:30:00
VZ,1492.51,2024-01-01 09:30:00
FB,960.01,2024-01-01 09:30:00
VZ,1459.65,2024-01-01 09:30:00
AMZN,462.14,2024-01-01 09:30:00
VZ,234.0,2024-01-01 09:30:00
VZ,289.22,2024-01-01 09:30:00
VZ,1411.35,2024-01-01 09:30:00
BRK.A,262.07,2024-01-01 09:30:00
MSFT,755.28,2024-01-01 09:30:00
GOOGL,897.58,2024-01-01 09:30:00
NVDA,835.45,2024-01-01 09:30:00
TSLA,394.14,2024-01-01 09:30:00
AAPL,508.46,2024-01-01 09:30:00
GOOGL,1242.14,2024-01-01 09:30:00
FB,601.94,2024-01-01 09:30:00
BRK.A,182.99,2024-01-01 09:30:00
BRK.A,1105.68,2024-01-01 09:30:00
TSLA,531.22,2024-01-01 09:30:00
NVDA,617.5,2024-01-01 09:30:00
AAPL,1464.9,2024-01-01 09:30:00
GOOGL,382.54,2024-01-01 09:30:00
VZ,706.03,2024-01-01 09:30:00
FB,1289.28,2024-01-01 09:30:00
TSLA,697.91,2024-01-01 09:30:00
AMZN,388.75,2024-01-01 09:30:00
VZ,487.8,2024-01-01 09:30:00
VZ,1097.36,2024-01-01 09:30:00
VZ,338.03,2024-01-01 09:30:00
NFLX,788.66,2024-01-01 09:30:00
MSFT,930.82,2024-01-01 09:30:00
NFLX,1189.1,2024-01-01 09:30:00
AAPL,1095.93,2024-01-01 09:30:00
MSFT,153.36,2024-01-01 09:30:00
AAPL,597.62,2024-01-01 09:30:00
AAPL,248.42,2024-01-01 09:30:00
MSFT,1084.95,2024-01-01 09:30:00
MSFT,697.26,2024-01-01 09:30:00
BRK.A,1271.75,2024-01-01 09:30:00
TSLA,481.02,2024-01-01 09:30:00
MSFT,990.27,2024-01-01 09:30:00
FB,1456.52,2024-01-01 09:30:00
MSFT,1104.16,2024-01-01 09:30:00
MSFT,1374.02,2024-01-01 09:30:00
GOOGL,885.7,2024-01-01 09:30:00
NFLX,629.26,2024-01-01 09:30:00
VZ,1340.71,2024-01-01 09:30:00
BRK.A,205.22,2024-01-01 09:30:00
GOOGL,459.8,2024-01-01 09:30:00
TSLA,678.78,2024-01-01 09:30:00
FB,568.39,2024-01-01 09:30:00
NVDA,855.32,2024-01-01 09:30:00
MSFT,943.87,2024-01-01 09:30:00
GOOGL,1307.56,2024-01-01 09:30:00
MSFT,1304.53,2024-01-01 09:30:00
GOOGL,385.8,2024-01-01 09:30:00
NFLX,1239.63,2024-01-01 09:30:00
MSFT,248.08,2024-01-01 09:30:00
AAPL,442.3,2024-01-01 09:30:00
AAPL,658.16,2024-01-01 09:30:00
AAPL,1239.57,2024-01-01 09:30:00
FB,811.79,2024-01-01 09:30:00
